customer_id,name,email,phone,signup_date,order_date,address,order_amount,currency_hint,customer_age,category,customer_segment
374,Servinaz Tülin Tevetoğlu, servinaz.tulin.tevetoglu374@example.com ,+90 552 763 65 56,"May 19, 2024",06-16-2025,Şehzadeler - Manisa - Türkiye,226 TL,TRY,46,Groceries,Budget
260,Boztaş Gürelcem Seven Sezer, boztas.gurelcem.seven.sezer260@example.com ,+90 505 932 52 50,2025-10-29,01-09-2026,"Türkiye, İstanbul, Şişli",186 TL,TRY,27,Books,Regular
199,Av. Tangül Deha Şafak,av.tangul.deha.safak199@example.com,+90 583 982 62 24,05/04/2024,2025-10-18,Ortahisar - Trabzon - Türkiye,$191.61,USD, 35 ,Books,Regular
392,Asiman Akçay,asiman.akcay392@example.com,+90  505   120 46  18 ,25/04/2023,26/01/2026,Atakum - Samsun - Türkiye,"157,99",, 29 ,Clothing,Budget
289,Okyalaz Türk,okyalaz.turk289@example.com,0546 660 99 35,2021-11-16,2026-04-22,"Türkiye, Şanlıurfa, Eyyübiye",₺350,TRY,63,Toys & Games,Budget
83,Öğr. Baydu Serda Yüksel,ogr.baydu.serda.yuksel83@example.com,0532 858 84 24,04-01-2023,"June 26, 2025","Türkiye, Denizli, Pamukkale",$364.71,USD,69,Sports & Outdoors,Budget
360,Gökperi Demir,gokperi.demir360@example.com,+905589020012,2023-04-22,2026-03-27,"Türkiye, Malatya, Yeşilyurt",₺345,TRY, 56 ,Beauty & Personal Care,Regular
45,Arş. Gör. Özakan İhsanoğlu,ars.gor.ozakan.ihsanoglu45@gmial.com,+90 569 901 62 72,01/09/2025,2026-05-12,"Türkiye, Antalya, Muratpaşa",₺241,TRY,34,Sports & Outdoors,Regular
274,Oliver İhsanoğlu, oliver.ihsanoglu274@example.com ,+90  598   992 17  22 ,2024-10-05,2025-12-02,"Türkiye, Ankara, Yenimahalle","354,32",,69,Home & Garden,Budget
365,Prof. Nevsale Uğur Zengin Sakarya,prof.nevsale.ugur.zengin.sakarya365@gmial.com,+90  590   426 81  81 ,2023-02-16,2026-03-14,Kayapınar - Diyarbakır - Türkiye,₺209,TRY,36,Toys & Games,Budget
