row_index,customer_id,name_true,email_true,phone_true_e164,signup_date_true,order_date_true,city_true,district_true,country_true,order_amount_true,customer_age_true
0,362,Havse İncifir Hayrioğlu Yıldırım,havse.incifir.hayrioglu.yildirim362@example.com,+905037236831,2024-04-05,2026-06-01,İstanbul,Beşiktaş,Türkiye,372.69,67
1,137,Göken Arslan,goken.arslan137@example.com,+905430068486,2023-07-29,2025-06-30,İzmir,Konak,Türkiye,349.58,62
2,232,Binışık Bilgütay Sezgin,binisik.bilgutay.sezgin232@example.com,+905484631224,2025-04-30,2025-10-17,Gaziantep,Şehitkamil,Türkiye,327.88,58
3,340,Tenvir Alemdar,tenvir.alemdar340@example.com,+905321234764,2022-08-23,2025-04-06,Gaziantep,Şehitkamil,Türkiye,154.44,21
4,407,Arş. Gör. Meveddet Türk Bilgin,ars.gor.meveddet.turk.bilgin407@example.com,+905599996636,2025-08-04,2026-04-22,Antalya,Muratpaşa,Türkiye,299.8,52
5,49,Atilhan Gül,atilhan.gul49@example.com,+905748217594,2022-05-14,2026-05-09,Malatya,Yeşilyurt,Türkiye,274.5,45
6,122,Zehranur Şama Akça,zehranur.sama.akca122@example.com,+905342661797,2022-09-07,2025-02-01,Erzurum,Yakutiye,Türkiye,273.13,43
7,414,Arş. Gör. Sebattin İvecen Ülker,ars.gor.sebattin.ivecen.ulker414@example.com,+905418621042,2023-06-24,2026-02-01,Gaziantep,Şehitkamil,Türkiye,210.23,40
8,45,Arş. Gör. Özakan İhsanoğlu,ars.gor.ozakan.ihsanoglu45@example.com,+905044997278,2023-03-27,2026-06-10,Trabzon,Ortahisar,Türkiye,202.87,40
9,209,Narhanim Aslan,narhanim.aslan209@example.com,+905024286990,2021-11-30,2026-06-19,Bursa,Osmangazi,Türkiye,405.44,64
10,497,Remazan Duran,remazan.duran497@example.com,+905550448177,2023-08-18,2026-04-08,Van,İpekyolu,Türkiye,290.24,44
11,401,Alkor Manço,alkor.manco401@example.com,+905530428973,2021-11-14,2026-04-08,İzmir,Konak,Türkiye,303.46,23
12,352,Gülev Demir,gulev.demir352@example.com,+905742761707,2023-12-13,2026-05-10,Şanlıurfa,Eyyübiye,Türkiye,372.91,63
13,386,Nefaret Cuheyna Durdu,nefaret.cuheyna.durdu386@example.com,+905398402891,2024-04-06,2025-06-08,Eskişehir,Tepebaşı,Türkiye,160.27,23
14,447,Nurbanu Limon Kısakürek Seven,nurbanu.limon.kisakurek.seven447@example.com,+905432983954,2025-03-24,2025-11-01,Erzurum,Yakutiye,Türkiye,396.17,64
15,331,Dilşat Ertaş,dilsat.ertas331@example.com,+905590561655,2023-08-22,2025-06-06,Antalya,Kepez,Türkiye,210.83,40
16,284,Sevdinar İhsanoğlu Hayrioğlu,sevdinar.ihsanoglu.hayrioglu284@example.com,+905010618175,2024-09-19,2025-05-31,Eskişehir,Odunpazarı,Türkiye,324.66,64
17,387,Bişar Ülker,bisar.ulker387@example.com,+905743553795,2025-11-10,2026-02-09,Bursa,Nilüfer,Türkiye,356.58,62
18,200,Sevim Fayize Şafak Akçay,sevim.fayize.safak.akcay200@example.com,+905129087814,2022-03-08,2025-05-26,Samsun,İlkadım,Türkiye,91.64,22
19,73,Koçak Akçay,kocak.akcay73@example.com,+905460953962,2022-03-23,2025-01-26,Gaziantep,Şahinbey,Türkiye,337.13,60
20,116,Kaygusuz Akver Akdeniz Güçlü,kaygusuz.akver.akdeniz.guclu116@example.com,+905431142626,2024-03-04,2026-02-19,İzmir,Karşıyaka,Türkiye,183.94,41
21,48,Hayrünnisa Ağbegim Yüksel,hayrunnisa.agbegim.yuksel48@example.com,+905724005045,2023-11-06,2026-05-27,Şanlıurfa,Eyyübiye,Türkiye,257.01,45
22,217,Doç. Zümre Münezzer Ergül,doc.zumre.munezzer.ergul217@example.com,+905376904268,2025-05-08,2025-06-16,İzmir,Konak,Türkiye,263.3,53
23,361,Behrem Yılmaz,behrem.yilmaz361@example.com,+905499564122,2025-11-14,2026-05-14,Trabzon,Ortahisar,Türkiye,154.35,30
24,475,Yasan Şehamet Fırat Akdeniz,yasan.sehamet.firat.akdeniz475@example.com,+905625436172,2025-05-01,2026-05-27,Bursa,Osmangazi,Türkiye,181.81,32
25,178,Nurmelek Hayrioğlu,nurmelek.hayrioglu178@example.com,+905326033230,2022-08-23,2025-03-29,Şanlıurfa,Eyyübiye,Türkiye,226.22,50
26,84,Tayaydın Atalay Seven,tayaydin.atalay.seven84@example.com,+905595327877,2024-03-21,2025-04-19,Konya,Meram,Türkiye,258.96,49
27,167,Çoğay Durdu,cogay.durdu167@example.com,+905357972798,2023-12-27,2025-10-17,Bursa,Nilüfer,Türkiye,205.18,40
28,386,Nefaret Cuheyna Durdu,nefaret.cuheyna.durdu386@example.com,+905398402891,2024-04-06,2025-03-09,Eskişehir,Tepebaşı,Türkiye,170.28,23
29,424,Dr. Oymak Şener,dr.oymak.sener424@example.com,+905746897152,2021-12-09,2025-08-09,Diyarbakır,Kayapınar,Türkiye,271.87,48
30,337,İlklima Kısakürek,ilklima.kisakurek337@example.com,+905477866032,2024-06-02,2025-09-29,Kayseri,Kocasinan,Türkiye,117.6,26
31,309,Sevim Eraslan,sevim.eraslan309@example.com,+905578284106,2023-02-24,2025-04-05,Samsun,İlkadım,Türkiye,355.35,67
32,349,Günsel Selvi Dumanlı Akça,gunsel.selvi.dumanli.akca349@example.com,+905537599004,2023-02-13,2025-03-10,Trabzon,Ortahisar,Türkiye,346.51,57
33,447,Nurbanu Limon Kısakürek Seven,nurbanu.limon.kisakurek.seven447@example.com,+905432983954,2025-03-24,2025-06-02,Erzurum,Yakutiye,Türkiye,367.36,64
34,398,Karataş Seven,karatas.seven398@example.com,+905247395003,2024-11-02,2025-11-15,Şanlıurfa,Eyyübiye,Türkiye,187.56,36
35,456,Mükrüme Alemdar Yaman,mukrume.alemdar.yaman456@example.com,+905313402665,2025-10-09,2025-10-24,İzmir,Karşıyaka,Türkiye,175.73,28
36,111,Dr. Ağakişi Hükümdar Öcalan,dr.agakisi.hukumdar.ocalan111@example.com,+905016668700,2022-01-03,2025-06-17,İzmir,Karşıyaka,Türkiye,120.91,28
37,216,Sonnur Çağlar Fırat Ergül,sonnur.caglar.firat.ergul216@example.com,+905021465669,2024-10-28,2025-11-11,Samsun,İlkadım,Türkiye,265.61,51
38,325,Aybora Çamurcuoğlu,aybora.camurcuoglu325@example.com,+905548015716,2024-05-11,2026-03-23,Antalya,Kepez,Türkiye,242.98,47
39,112,Yrd. Doç. Fehmiye Havali Bilge,yrd.doc.fehmiye.havali.bilge112@example.com,+905014890250,2024-10-14,2026-03-24,Denizli,Pamukkale,Türkiye,296.43,55
40,146,Möhsim Seven,mohsim.seven146@example.com,+905557431329,2025-05-03,2025-12-23,İzmir,Karşıyaka,Türkiye,155.66,27
41,70,Aliihsan Tunahan Duran Karadeniz,aliihsan.tunahan.duran.karadeniz70@example.com,+905359774688,2023-08-08,2025-07-20,Malatya,Yeşilyurt,Türkiye,304.54,28
42,131,Minibe Ülker,minibe.ulker131@example.com,+905395962923,2024-10-15,2025-04-17,Bursa,Nilüfer,Türkiye,371.07,69
43,139,Seçgül Dumanlı,secgul.dumanli139@example.com,+905758842524,2021-11-02,2025-12-31,İzmir,Bornova,Türkiye,404.02,74
44,392,Asiman Akçay,asiman.akcay392@example.com,+905304687506,2024-11-09,2025-05-16,Ankara,Yenimahalle,Türkiye,228.16,39
45,136,Rayla Zülbiye Karadeniz,rayla.zulbiye.karadeniz136@example.com,+905526965827,2021-08-18,2025-06-13,Gaziantep,Şehitkamil,Türkiye,118.66,22
46,56,Soykut Durmuş,soykut.durmus56@example.com,+905537735158,2022-05-02,2025-05-17,Samsun,Atakum,Türkiye,224.29,40
47,312,Okt. İmrihan Melikkan Şener Şafak,okt.imrihan.melikkan.sener.safak312@example.com,+905376742662,2022-08-28,2025-03-17,Diyarbakır,Kayapınar,Türkiye,309.4,56
48,62,Öğr. Sonnur Sezgin Seven,ogr.sonnur.sezgin.seven62@example.com,+905599102290,2022-03-03,2026-05-22,İstanbul,Kadıköy,Türkiye,106.92,23
49,417,Gözel Durdu,gozel.durdu417@example.com,+905552065063,2023-05-18,2025-08-20,Eskişehir,Odunpazarı,Türkiye,152.96,32
50,147,Yekda Sezer,yekda.sezer147@example.com,+905561853747,2024-06-18,2025-07-12,Diyarbakır,Kayapınar,Türkiye,368.98,72
51,27,Dirlik Çamurcuoğlu,dirlik.camurcuoglu27@example.com,+905727743487,2022-06-08,2026-06-15,Antalya,Kepez,Türkiye,171.21,33
52,102,Av. Kısmet Aynımah Yılmaz,av.kismet.aynimah.yilmaz102@example.com,+905342708668,2022-12-23,2025-03-28,Trabzon,Ortahisar,Türkiye,152.32,26
53,50,Av. Behiza İnönü Duran,av.behiza.inonu.duran50@example.com,+905367136959,2024-04-16,2025-08-23,Diyarbakır,Kayapınar,Türkiye,316.37,62
54,423,Nalân Güverçin Şama,naln.guvercin.sama423@example.com,+905066149828,2021-11-15,2026-03-14,Diyarbakır,Kayapınar,Türkiye,121.85,29
55,411,Maksüde Hayrioğlu,maksude.hayrioglu411@example.com,+905169385977,2023-05-10,2025-08-19,Antalya,Kepez,Türkiye,284.25,54
56,50,Av. Behiza İnönü Duran,av.behiza.inonu.duran50@example.com,+905367136959,2024-04-16,2026-06-27,Diyarbakır,Kayapınar,Türkiye,345.5,62
57,392,Asiman Akçay,asiman.akcay392@example.com,+905304687506,2024-11-09,2025-08-10,Ankara,Yenimahalle,Türkiye,251.87,39
58,303,Alattin Hayrioğlu,alattin.hayrioglu303@example.com,+905325381793,2021-09-22,2025-05-13,Konya,Selçuklu,Türkiye,535.61,65
59,82,Dr. Sökmen Erdoğan,dr.sokmen.erdogan82@example.com,+905010943969,2022-05-14,2025-12-19,İzmir,Bornova,Türkiye,136.01,19
60,74,Burakhan Kasim Yılmaz,burakhan.kasim.yilmaz74@example.com,+905722170430,2024-10-30,2026-06-15,Samsun,İlkadım,Türkiye,390.96,74
